q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726169109346, avg_len CP std: 0.0013227767308078612
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4180130707381664, q GC std: 0.005519728942675903
avg_len GC mean: 0.1839702993631363, avg_len GC std: 0.0007256121322736525
avg_cov GC mean: 0.9159714847803115, avg_cov GC std: 0.00444812474267514
q new addtive mean: 0.027209048625081778, q new addtive std: 0.0005239824354086733
avg_len new addtive mean: 0.1587999053299427, avg_len new addtive std: 0.001481693753660184
avg_cov new addtive mean: 0.9040918737649918, avg_cov new addtive std: 0.007615212061439841
q new div mean: 1.589745682477951, q new div std: 0.017564409278361594
avg_len new div mean: 0.16594605296850204, avg_len new div std: 0.002537549635494491
avg_cov new div mean: 0.9027191162109375, avg_cov new div std: 0.009864091011450133
lumbar, densenet201, 0.1, 1
