q CP mean: 1.5159935534000397, q CP std: 0.012722884820811457
avg_len CP mean: 0.17800139784812927, avg_len CP std: 0.0014907782408171836
avg_cov CP mean: 0.901610353589058, avg_cov CP std: 0.008078902125125678
q GC mean: 1.4892690073499084, q GC std: 0.005807307304675828
avg_len GC mean: 0.17486353665590287, avg_len GC std: 0.0006800169654224019
avg_cov GC mean: 0.8926082372665405, avg_cov GC std: 0.005171457178415723
q new addtive mean: 0.05064524244517088, q new addtive std: 0.0007680730989273462
avg_len new addtive mean: 0.18442761301994323, avg_len new addtive std: 0.00204593610048336
avg_cov new addtive mean: 0.9023759245872498, avg_cov new addtive std: 0.007687359668095998
q new div mean: inf, q new div std: nan
avg_len new div mean: nan, avg_len new div std: nan
avg_cov new div mean: 0.8795142531394958, avg_cov new div std: 0.004761414814672385
lumbar, efficientnetb4, 0.1, 1
